log r ''  SB   SBFIT   DIFF
-0.357  18.33  18.18   0.15
-0.131  18.26  18.18   0.08
-0.092  17.98  18.18   0.20
-0.046  18.25  18.18   0.07
 0.041  18.20  18.18   0.02
 0.130  18.18  18.18   0.00
 0.209  17.99  18.18   0.19
 0.217  18.16  18.18   0.02
 0.303  18.16  18.19   0.02
 0.391  18.17  18.19   0.02
 0.477  18.18  18.20   0.02
 0.514  18.01  18.20   0.19
 0.565  18.20  18.21   0.01
 0.651  18.24  18.23   0.01
 0.689  18.01  18.23   0.22
 0.739  18.19  18.25   0.06
 0.815  18.02  18.28   0.26
 0.826  18.12  18.28   0.17
 0.913  18.28  18.33   0.06
 0.990  18.22  18.39   0.18
 1.000  18.44  18.40   0.04
 1.058  18.36  18.47   0.11
 1.087  18.49  18.50   0.01
 1.115  18.47  18.54   0.07
 1.167  18.56  18.62   0.06
 1.174  18.64  18.63   0.01
 1.213  18.65  18.70   0.05
 1.254  18.69  18.79   0.10
 1.261  18.83  18.80   0.03
 1.292  18.74  18.88   0.14
 1.326  18.80  18.96   0.16
 1.348  18.98  19.02   0.04
 1.359  18.93  19.05   0.12
 1.389  19.06  19.14   0.08
 1.417  19.13  19.22   0.10
 1.435  19.33  19.28   0.05
 1.468  19.34  19.40   0.05
 1.522  19.64  19.60   0.04
 1.535  19.56  19.64   0.08
 1.593  19.80  19.89   0.09
 1.609  19.91  19.96   0.05
 1.644  20.06  20.12   0.06
 1.690  20.37  20.33   0.04
 1.731  20.52  20.54   0.02
 1.769  20.81  20.75   0.06
 1.783  20.83  20.83   0.00
 1.804  20.97  20.94   0.03
 1.866  21.26  21.30   0.04
 1.871  21.34  21.33   0.01
 1.945  22.61  21.80   0.81
 1.958  21.79  21.88   0.10
 2.012  23.44  22.25   1.19
 2.045  21.85  22.48   0.64
 2.070  23.29  22.67   0.63
 2.121  23.05  23.05   0.00
 2.132  22.65  23.13   0.48
 2.167  23.05  23.40   0.35
 2.219  23.73  23.82   0.09
 2.246  23.80  24.04   0.24
 2.313  25.55  24.62   0.93 
